model_num,optimizer,units,activation,kernel_regularizer,fold,epoch,loss,val_loss,time_train,accuracy_score_train,f1_score_train,precision_score_train,recall_score_train,roc_auc_score_train,accuracy_score_test,f1_score_test,precision_score_test,recall_score_test,roc_auc_score_test,time_pred,model_size,model_layers,model_weights,model_parameters_non_zero,model_sparsity
1,Adagrad,256,relu,,4.50000000,10.00000000,0.60418530,0.60539842,0.14119747,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.22916541,1182984.00000000,4.00000000,144385.00000000,144379.50000000,0.00100000
2,Adadelta,256,relu,,4.50000000,10.00000000,0.68205935,0.67997298,0.17385769,0.59966666,0.69662180,0.70760541,0.72968254,0.51298942,0.61000000,0.70619799,0.71669395,0.74142857,0.52238095,0.28361311,1763009.00000000,4.00000000,144385.00000000,144380.90000000,0.00000000
3,Adam,256,relu,,4.50000000,10.00000000,0.11394668,0.93059623,0.13529096,0.97666667,0.98341626,0.97857021,0.98873016,0.96862434,0.71900000,0.80309332,0.78374727,0.82857143,0.64595238,0.17757592,1763038.00000000,4.00000000,144385.00000000,144384.20000000,0.00000000
4,Adamax,256,relu,,4.50000000,10.00000000,0.35032682,0.53735409,0.16985381,0.86388889,0.90717728,0.86907095,0.94968254,0.80669312,0.74600000,0.82726357,0.78953733,0.87142857,0.66238095,0.22913833,1763024.00000000,4.00000000,144385.00000000,144380.60000000,0.00100000
5,Ftrl,256,relu,,4.50000000,10.00000000,0.68779085,0.68762768,0.20073693,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.26802607,1763161.00000000,4.00000000,144385.00000000,122524.30000000,15.14100000
6,SGD,256,relu,,4.50000000,10.00000000,0.57732033,0.58134699,0.12479336,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.22319610,602739.00000000,4.00000000,144385.00000000,144380.20000000,0.00200000
7,Adagrad,256,relu,l1,4.50000000,10.00000000,68.93261032,68.36175385,0.12710261,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.20066819,1183323.00000000,4.00000000,144385.00000000,144380.50000000,0.00000000
8,Adadelta,256,relu,l1,4.50000000,10.00000000,79.66834335,79.62687149,0.15250306,0.52377778,0.57424660,0.71121439,0.55825397,0.50079365,0.53600000,0.58746961,0.72595261,0.57428572,0.51047619,0.27991884,1763348.00000000,4.00000000,144385.00000000,144379.90000000,0.00200000
9,Adam,256,relu,l1,4.50000000,10.00000000,0.78999667,0.78930533,0.19593778,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.26905422,1763377.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
10,Adamax,256,relu,l1,4.50000000,10.00000000,0.78488840,0.78479676,0.19431074,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.26651022,1763363.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
11,Ftrl,256,relu,l1,4.50000000,10.00000000,0.70772206,0.70979210,0.18461637,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.22905631,1763500.00000000,4.00000000,144385.00000000,143709.50000000,0.46800000
12,SGD,256,relu,l1,4.50000000,10.00000000,45.75240021,44.10402451,0.14165986,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.25444655,603078.00000000,4.00000000,144385.00000000,144380.90000000,0.00000000
13,Adagrad,256,relu,l2,4.50000000,10.00000000,6.33099861,6.32158794,0.16091061,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.25521743,1183275.00000000,4.00000000,144385.00000000,144381.20000000,0.00000000
14,Adadelta,256,relu,l2,4.50000000,10.00000000,6.56928067,6.56664891,0.16311460,0.61600000,0.69418610,0.63570062,0.77444444,0.51037037,0.62800000,0.70543349,0.64127763,0.79285714,0.51809524,0.23192379,1763300.00000000,4.00000000,144385.00000000,144380.80000000,0.00000000
15,Adam,256,relu,l2,4.50000000,10.00000000,0.54712358,0.59684789,0.17198241,0.77877778,0.85412585,0.79741094,0.92460317,0.68156085,0.72100000,0.81368763,0.76229032,0.87714286,0.61690476,0.27168295,1763329.00000000,4.00000000,144385.00000000,144382.00000000,0.00000000
16,Adamax,256,relu,l2,4.50000000,10.00000000,0.81889189,0.84042420,0.20268321,0.77500000,0.84984331,0.79920516,0.91126984,0.68415344,0.73800000,0.82510608,0.77677130,0.88571429,0.63952381,0.31578443,1763315.00000000,4.00000000,144385.00000000,144381.00000000,0.00100000
