model_num,optimizer,units,activation,kernel_regularizer,fold,epoch,loss,val_loss,time_train,accuracy_score_train,f1_score_train,precision_score_train,recall_score_train,roc_auc_score_train,accuracy_score_test,f1_score_test,precision_score_test,recall_score_test,roc_auc_score_test,time_pred,model_size,model_layers,model_weights,model_parameters_non_zero,model_sparsity
17,Ftrl,256,relu,l2,4.50000000,10.00000000,0.68779384,0.68763380,0.18135967,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.23130503,1763452.00000000,4.00000000,144385.00000000,144377.00000000,0.00500000
18,SGD,256,relu,l2,4.50000000,10.00000000,5.89149437,5.86445532,0.12509551,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.20083494,603030.00000000,4.00000000,144385.00000000,144380.60000000,0.00200000
19,Adagrad,256,elu,,4.50000000,10.00000000,0.56373656,0.56719189,0.13492439,0.70255555,0.82424071,0.70285506,0.99634921,0.50669312,0.69500000,0.81981363,0.69887427,0.99142857,0.49738095,0.20214555,1182981.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
20,Adadelta,256,elu,,4.50000000,10.00000000,0.64015689,0.63997145,0.16025269,0.67588889,0.79901554,0.70434744,0.92650794,0.50880952,0.67000000,0.79512133,0.70002553,0.92428571,0.50047619,0.23524292,1763006.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
21,Adam,256,elu,,4.50000000,10.00000000,0.46040593,0.52126836,0.18535178,0.78988889,0.85615379,0.82267710,0.89460317,0.72007936,0.75100000,0.83008711,0.79309194,0.87428572,0.66880952,0.26310842,1763035.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
22,Adamax,256,elu,,4.50000000,10.00000000,0.45620377,0.51641489,0.16258557,0.78744444,0.85514786,0.81807236,0.89714286,0.71431217,0.73800000,0.82064884,0.78693479,0.86142857,0.65571428,0.24635890,1763021.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
23,Ftrl,256,elu,,4.50000000,10.00000000,0.68774367,0.68757997,0.18199391,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.24565833,1763158.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
24,SGD,256,elu,,4.50000000,10.00000000,0.51545941,0.52958028,0.14709616,0.73822222,0.83625023,0.74419488,0.95476190,0.59386243,0.72100000,0.82646197,0.73240157,0.94857143,0.56928571,0.26751721,602736.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
25,Adagrad,256,elu,l1,4.50000000,10.00000000,68.89790573,68.33785706,0.14481418,0.70111111,0.82397642,0.70095990,0.99936508,0.50227513,0.70000000,0.82332057,0.70040404,0.99857143,0.50095238,0.22768340,1183320.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
26,Adadelta,256,elu,l1,4.50000000,10.00000000,79.64412231,79.59812317,0.16243942,0.59188889,0.70072374,0.69865838,0.73412699,0.49706349,0.60600000,0.71486444,0.71112869,0.75285714,0.50809524,0.24352927,1763345.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
27,Adam,256,elu,l1,4.50000000,10.00000000,0.78560984,0.78427435,0.19219279,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.26077113,1763374.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
28,Adamax,256,elu,l1,4.50000000,10.00000000,0.79404871,0.78541847,0.18477988,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.24734178,1763360.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
29,Ftrl,256,elu,l1,4.50000000,10.00000000,0.70785150,0.71030779,0.20144920,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.21454065,1763497.00000000,4.00000000,144385.00000000,144352.50000000,0.02200000
30,SGD,256,elu,l1,4.50000000,10.00000000,45.75229874,44.11328049,0.14253738,0.70133333,0.82410732,0.70107041,0.99952381,0.50253968,0.70100000,0.82401671,0.70070707,1.00000000,0.50166667,0.23632824,603075.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
31,Adagrad,256,elu,l2,4.50000000,10.00000000,6.28655629,6.28263206,0.15552921,0.70133333,0.82399203,0.70129654,0.99873016,0.50306878,0.69900000,0.82262443,0.70010101,0.99714286,0.50023810,0.19424930,1183272.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
32,Adadelta,256,elu,l2,4.50000000,10.00000000,6.53752642,6.53633237,0.20478621,0.67111111,0.79129040,0.71073075,0.89634921,0.52095238,0.67300000,0.79070693,0.71447821,0.89000000,0.52833333,0.29192665,1763297.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
33,Adam,256,elu,l2,4.50000000,10.00000000,0.57425942,0.60111721,0.19890139,0.77577778,0.84735456,0.81046106,0.89031746,0.69941799,0.74700000,0.82920556,0.78939231,0.87571428,0.66119048,0.26053002,1763326.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
34,Adamax,256,elu,l2,4.50000000,10.00000000,1.20105932,1.18609698,0.17682014,0.77722222,0.85202105,0.79678505,0.91603174,0.68468254,0.74100000,0.82866085,0.77229365,0.89571429,0.63785714,0.22595971,1763312.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
35,Ftrl,256,elu,l2,4.50000000,10.00000000,0.68774712,0.68758487,0.18661027,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.25377426,1763449.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
36,SGD,256,elu,l2,4.50000000,10.00000000,5.84214869,5.82397866,0.13714550,0.73155555,0.83246040,0.73921087,0.95285714,0.58402116,0.72400000,0.82827698,0.73455194,0.95000000,0.57333333,0.21954224,603027.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
37,Adagrad,256,sigmoid,,4.50000000,10.00000000,0.61118059,0.61100661,0.14080100,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.20841537,1182993.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
38,Adadelta,256,sigmoid,,4.50000000,10.00000000,0.66926478,0.66766906,0.14389281,0.62000000,0.65882353,0.56000000,0.80000000,0.50000000,0.62000000,0.65882353,0.56000000,0.80000000,0.50000000,0.23491917,1763018.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
39,Adam,256,sigmoid,,4.50000000,10.00000000,0.49737290,0.52516223,0.17812898,0.75233333,0.82815963,0.80703061,0.85666667,0.68277778,0.72300000,0.80805677,0.78394158,0.84142857,0.64404762,0.19161363,1763047.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
40,Adamax,256,sigmoid,,4.50000000,10.00000000,0.59297470,0.58919331,0.17654068,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.29564950,1763033.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
41,Ftrl,256,sigmoid,,4.50000000,10.00000000,0.61110067,0.61089985,0.18761933,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.21222086,1763170.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
42,SGD,256,sigmoid,,4.50000000,10.00000000,0.61287931,0.61490723,0.12766426,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.21934140,602748.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
43,Adagrad,256,sigmoid,l1,4.50000000,10.00000000,68.99057236,68.41869583,0.14997115,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.22261798,1183332.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
44,Adadelta,256,sigmoid,l1,4.50000000,10.00000000,79.59439240,79.55259018,0.19048615,0.54000000,0.49411765,0.42000000,0.60000000,0.50000000,0.54000000,0.49411765,0.42000000,0.60000000,0.50000000,0.28066509,1763357.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
45,Adam,256,sigmoid,l1,4.50000000,10.00000000,0.79567406,0.79623522,0.17532682,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.25131435,1763386.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
46,Adamax,256,sigmoid,l1,4.50000000,10.00000000,0.77628785,0.77588935,0.18486257,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.26381290,1763372.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
47,Ftrl,256,sigmoid,l1,4.50000000,10.00000000,0.63115642,0.63228427,0.18322635,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.24711542,1763509.00000000,4.00000000,144385.00000000,144375.20000000,0.00700000
48,SGD,256,sigmoid,l1,4.50000000,10.00000000,45.79346313,44.14407654,0.14213996,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.24191837,603087.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
49,Adagrad,256,sigmoid,l2,4.50000000,10.00000000,6.33763547,6.32619133,0.13910542,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.21636264,1183284.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
50,Adadelta,256,sigmoid,l2,4.50000000,10.00000000,6.64508266,6.63935127,0.18835349,0.46000000,0.32941176,0.28000000,0.40000000,0.50000000,0.46000000,0.32941176,0.28000000,0.40000000,0.50000000,0.24958031,1763309.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
51,Adam,256,sigmoid,l2,4.50000000,10.00000000,0.62627708,0.62211624,0.19047482,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.28142645,1763338.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
52,Adamax,256,sigmoid,l2,4.50000000,10.00000000,0.83014613,0.80318817,0.17030451,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.22999568,1763324.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
53,Ftrl,256,sigmoid,l2,4.50000000,10.00000000,0.61110482,0.61089306,0.19298275,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.26280222,1763461.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
54,SGD,256,sigmoid,l2,4.50000000,10.00000000,5.92823081,5.89849873,0.14280162,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.20767365,603039.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
55,Adagrad,256,softmax,,4.50000000,10.00000000,0.68679601,0.68662741,0.13976471,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.20154672,1182993.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
56,Adadelta,256,softmax,,4.50000000,10.00000000,0.69355208,0.69354517,0.20515504,0.38000000,0.16470588,0.14000000,0.20000000,0.50000000,0.38000000,0.16470588,0.14000000,0.20000000,0.50000000,0.25000718,1763018.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
57,Adam,256,softmax,,4.50000000,10.00000000,0.62950935,0.62778751,0.16365206,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.25345225,1763047.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
58,Adamax,256,softmax,,4.50000000,10.00000000,0.65033492,0.64873906,0.16388566,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.23733702,1763033.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
59,Ftrl,256,softmax,,4.50000000,10.00000000,0.68766673,0.68749956,0.19221032,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.30737913,1763170.00000000,4.00000000,144385.00000000,144228.90000000,0.10800000
60,SGD,256,softmax,,4.50000000,10.00000000,0.63306767,0.63152519,0.13765938,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.22673855,602748.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
61,Adagrad,256,softmax,l1,4.50000000,10.00000000,69.05396729,68.48206711,0.17113478,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.25654848,1183332.00000000,4.00000000,144385.00000000,144384.80000000,0.00000000
62,Adadelta,256,softmax,l1,4.50000000,10.00000000,79.63925476,79.59766159,0.19166672,0.66000000,0.74117647,0.63000000,0.90000000,0.50000000,0.66000000,0.74117647,0.63000000,0.90000000,0.50000000,0.27291443,1763357.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
63,Adam,256,softmax,l1,4.50000000,10.00000000,0.81040691,0.80853530,0.20325561,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.25387909,1763386.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
64,Adamax,256,softmax,l1,4.50000000,10.00000000,0.83175471,0.82989523,0.17743616,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.26327288,1763372.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
65,Ftrl,256,softmax,l1,4.50000000,10.00000000,0.70767281,0.70968688,0.19532897,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.26368957,1763509.00000000,4.00000000,144385.00000000,144322.00000000,0.04200000
66,SGD,256,softmax,l1,4.50000000,10.00000000,45.78897400,44.13627357,0.14700894,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.23798790,603087.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
67,Adagrad,256,softmax,l2,4.50000000,10.00000000,6.41391501,6.40262470,0.15185814,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.24288561,1183284.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
68,Adadelta,256,softmax,l2,4.50000000,10.00000000,6.57161527,6.56866665,0.18640301,0.50000000,0.41176471,0.35000000,0.50000000,0.50000000,0.50000000,0.41176471,0.35000000,0.50000000,0.50000000,0.24868720,1763309.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
69,Adam,256,softmax,l2,4.50000000,10.00000000,0.62968368,0.62793424,0.18476882,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.28510072,1763338.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
70,Adamax,256,softmax,l2,4.50000000,10.00000000,0.65486094,0.65194170,0.22507563,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.29301350,1763324.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
71,Ftrl,256,softmax,l2,4.50000000,10.00000000,0.68762990,0.68746545,0.21106708,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.25959284,1763461.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
72,SGD,256,softmax,l2,4.50000000,10.00000000,5.94649520,5.91221356,0.15289326,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.22682979,603039.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
73,Adagrad,256,tanh,,4.50000000,10.00000000,0.55690283,0.56231514,0.15726087,0.70522222,0.82531607,0.70520720,0.99476190,0.51219577,0.69700000,0.82080371,0.70030509,0.99142857,0.50071429,0.24488375,1182984.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
74,Adadelta,256,tanh,,4.50000000,10.00000000,0.64412782,0.64872028,0.16770306,0.66922222,0.79107871,0.70534743,0.90444445,0.51240741,0.65800000,0.78568981,0.69796314,0.90142857,0.49571429,0.21449969,1763009.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
75,Adam,256,tanh,,4.50000000,10.00000000,0.47416451,0.51658174,0.16973314,0.78188889,0.85404622,0.80591292,0.91142857,0.69552910,0.75100000,0.83334006,0.78350274,0.89428572,0.65547619,0.20170820,1763038.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
76,Adamax,256,tanh,,4.50000000,10.00000000,0.45961195,0.50768055,0.16763444,0.78811111,0.85411962,0.82460529,0.88634921,0.72261905,0.75900000,0.83388280,0.80425748,0.86714286,0.68690476,0.25426390,1763024.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
77,Ftrl,256,tanh,,4.50000000,10.00000000,0.68773513,0.68757818,0.19008579,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.26456161,1763161.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
78,SGD,256,tanh,,4.50000000,10.00000000,0.50770082,0.52455719,0.14467452,0.74466667,0.83780825,0.75453825,0.94206349,0.61306878,0.73200000,0.83050008,0.74642354,0.93714286,0.59523810,0.25402627,602739.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
79,Adagrad,256,tanh,l1,4.50000000,10.00000000,68.91659088,68.35466843,0.16537876,0.70077778,0.82369846,0.70094911,0.99857143,0.50224868,0.69800000,0.82192705,0.69980210,0.99571429,0.49952381,0.23434906,1183323.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
80,Adadelta,256,tanh,l1,4.50000000,10.00000000,79.60826492,79.56916046,0.20896146,0.56077778,0.63937337,0.71768616,0.61460317,0.52489418,0.55900000,0.63975221,0.71269080,0.62000000,0.51833333,0.27457769,1763348.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
81,Adam,256,tanh,l1,4.50000000,10.00000000,0.78443403,0.78288659,0.20553823,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.23497920,1763377.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
82,Adamax,256,tanh,l1,4.50000000,10.00000000,0.78978679,0.78320623,0.19907787,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.27613478,1763363.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
83,Ftrl,256,tanh,l1,4.50000000,10.00000000,0.70781610,0.71020163,0.20445552,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.21940343,1763500.00000000,4.00000000,144385.00000000,144350.80000000,0.02400000
84,SGD,256,tanh,l1,4.50000000,10.00000000,45.69459801,44.05671883,0.16773503,0.70300000,0.82473530,0.70261304,0.99825397,0.50616402,0.70000000,0.82290869,0.70122655,0.99571429,0.50285714,0.23314195,603078.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
85,Adagrad,256,tanh,l2,4.50000000,10.00000000,6.29188437,6.28027225,0.15293522,0.70133333,0.82371405,0.70183492,0.99682540,0.50433862,0.70200000,0.82429516,0.70181818,0.99857143,0.50428572,0.22549481,1183275.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
86,Adadelta,256,tanh,l2,4.50000000,10.00000000,6.56339989,6.55875421,0.18766489,0.64511111,0.76653553,0.70563127,0.84460317,0.51211640,0.64900000,0.77095694,0.70387137,0.85857143,0.50928571,0.26392207,1763300.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
87,Adam,256,tanh,l2,4.50000000,10.00000000,0.57981520,0.60176170,0.17051861,0.77933333,0.85179965,0.80446262,0.90555556,0.69518519,0.74000000,0.82589911,0.77790373,0.88285714,0.64476190,0.25330839,1763329.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
88,Adamax,256,tanh,l2,4.50000000,10.00000000,1.25220999,1.23199626,0.19516451,0.77833333,0.85186273,0.80067520,0.91047619,0.69023810,0.73700000,0.82419844,0.77574332,0.88142857,0.64071429,0.28890219,1763315.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
89,Ftrl,256,tanh,l2,4.50000000,10.00000000,0.68780587,0.68764119,0.20511062,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.26578913,1763452.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
90,SGD,256,tanh,l2,4.50000000,10.00000000,5.83775439,5.82446222,0.15236435,0.73566667,0.83488098,0.74210314,0.95476190,0.58960318,0.71000000,0.81869944,0.72759201,0.93714286,0.55857143,0.24575729,603030.00000000,4.00000000,144385.00000000,144385.00000000,0.00000000
91,Adagrad,128,relu,,4.50000000,10.00000000,0.61129203,0.61094654,0.09409554,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.18419809,343304.00000000,4.00000000,39425.00000000,39421.40000000,0.01100000
92,Adadelta,128,relu,,4.50000000,10.00000000,0.68638096,0.68828177,0.10775867,0.53400000,0.55425895,0.68870525,0.56825397,0.51116402,0.51300000,0.52837943,0.55190636,0.55285714,0.48642857,0.17075243,503489.00000000,4.00000000,39425.00000000,39423.10000000,0.00600000
93,Adam,128,relu,,4.50000000,10.00000000,0.22094392,0.68638348,0.09522107,0.93922222,0.95684728,0.95284808,0.96301587,0.92335979,0.71700000,0.79351351,0.79904389,0.79714286,0.66357143,0.18357284,503518.00000000,4.00000000,39425.00000000,39423.90000000,0.00300000
94,Adamax,128,relu,,4.50000000,10.00000000,0.42444813,0.51553270,0.09353831,0.80922222,0.87040645,0.82983427,0.91555555,0.73833333,0.73800000,0.82404342,0.77797957,0.87714286,0.64523810,0.19398296,503504.00000000,4.00000000,39425.00000000,39422.90000000,0.00700000
