model_num,optimizer,units,activation,kernel_regularizer,fold,epoch,loss,val_loss,time_train,accuracy_score_train,f1_score_train,precision_score_train,recall_score_train,roc_auc_score_train,accuracy_score_test,f1_score_test,precision_score_test,recall_score_test,roc_auc_score_test,time_pred,model_size,model_layers,model_weights,model_parameters_non_zero,model_sparsity
1,Adagrad,256,relu,,4.50000000,10.00000000,0.59848395,0.59995303,0.09417493,0.70011111,0.82358327,0.70007786,1.00000000,0.50018518,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.15964062,652158.00000000,3.00000000,78593.00000000,78591.60000000,0.00000000
2,Adadelta,256,relu,,4.50000000,10.00000000,0.68356082,0.68477789,0.10557659,0.57422222,0.64063148,0.69404878,0.67888889,0.50444444,0.57600000,0.64332401,0.69089969,0.67857143,0.50761905,0.18055210,968647.00000000,3.00000000,78593.00000000,78592.10000000,0.00000000
3,Adam,256,relu,,4.50000000,10.00000000,0.25167178,0.62337638,0.09964011,0.91800000,0.94388725,0.91374434,0.97777778,0.87814815,0.74400000,0.82532398,0.79028930,0.86714286,0.66190476,0.17172885,968676.00000000,3.00000000,78593.00000000,78592.00000000,0.00000000
4,Adamax,256,relu,,4.50000000,10.00000000,0.41600591,0.51181644,0.09791565,0.81733334,0.87531085,0.83869753,0.91619048,0.75142857,0.73200000,0.81753686,0.78263368,0.85857143,0.64761905,0.15941291,968662.00000000,3.00000000,78593.00000000,78592.10000000,0.00000000
5,Ftrl,256,relu,,4.50000000,10.00000000,0.68773847,0.68757723,0.10774112,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.16252549,968799.00000000,3.00000000,78593.00000000,69546.70000000,11.51100000
6,SGD,256,relu,,4.50000000,10.00000000,0.56894023,0.57436212,0.08217731,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.16360459,336129.00000000,3.00000000,78593.00000000,78592.00000000,0.00100000
7,Adagrad,256,relu,l1,4.50000000,10.00000000,38.63216705,38.32199669,0.10596459,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.17692761,652384.00000000,3.00000000,78593.00000000,78591.60000000,0.00000000
8,Adadelta,256,relu,l1,4.50000000,10.00000000,44.44883842,44.42628212,0.12397647,0.56044444,0.65792978,0.69467129,0.65317460,0.49862434,0.57300000,0.66739586,0.71335541,0.67000000,0.50833333,0.17938135,968873.00000000,3.00000000,78593.00000000,78591.50000000,0.00000000
9,Adam,256,relu,l1,4.50000000,10.00000000,0.70658357,0.70589808,0.11066582,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.17423153,968902.00000000,3.00000000,78593.00000000,78593.00000000,0.00000000
10,Adamax,256,relu,l1,4.50000000,10.00000000,0.71572384,0.71166012,0.10782814,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.18064957,968888.00000000,3.00000000,78593.00000000,78593.00000000,0.00000000
11,Ftrl,256,relu,l1,4.50000000,10.00000000,0.69860203,0.69957922,0.13412824,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.18997164,969025.00000000,3.00000000,78593.00000000,78327.30000000,0.33900000
12,SGD,256,relu,l1,4.50000000,10.00000000,25.96561909,25.06879616,0.10225515,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.18799670,336355.00000000,3.00000000,78593.00000000,78592.20000000,0.00000000
13,Adagrad,256,relu,l2,4.50000000,10.00000000,3.85374866,3.84413669,0.12495522,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.70000000,0.82352941,0.70000000,1.00000000,0.50000000,0.19486609,652352.00000000,3.00000000,78593.00000000,78591.90000000,0.00000000
14,Adadelta,256,relu,l2,4.50000000,10.00000000,4.03576035,4.03121574,0.14052286,0.51788889,0.56459604,0.71149281,0.53555556,0.50611111,0.54900000,0.58321404,0.74863347,0.55714286,0.54357143,0.22302632,968841.00000000,3.00000000,78593.00000000,78591.70000000,0.00000000
15,Adam,256,relu,l2,4.50000000,10.00000000,0.53752708,0.58349741,0.10815265,0.78688889,0.85350514,0.82354594,0.88984127,0.71825397,0.74000000,0.81915756,0.79800846,0.85000000,0.66666667,0.17132621,968870.00000000,3.00000000,78593.00000000,78592.90000000,0.00000000
16,Adamax,256,relu,l2,4.50000000,10.00000000,0.76348009,0.78281061,0.11556637,0.76844444,0.84826046,0.78445033,0.92476190,0.66423280,0.74100000,0.82898466,0.77287281,0.89857143,0.63595238,0.16998737,968856.00000000,3.00000000,78593.00000000,78592.40000000,0.00000000
